Sample_ID,CentroidX,CentroidY,Mass,Width,Depth,Orientation0,Orientation1,Orientation2,Orientation3,Orientation4,Orientation5,Orientation6,Orientation7,Orientation8,Orientation9,Leaf weight,LeafArea,Leaf Hue,Class
1,150.89985,256.3507449,0.480333761,226,694,0.237142056,0.183958428,0.140673395,0.092410192,0.065385792,0.043597301,0.049197806,0.053838984,0.059633725,0.07416232,0.02,10257,61.02,A
2,174.2380221,244.7632742,0.34487731,169,491,0.262608173,0.182623489,0.121182557,0.078435691,0.064986253,0.051380247,0.050377344,0.052079114,0.062546759,0.073780372,0.05,6977,59.61,A
3,158.4149628,236.9010665,0.389815258,264,635,0.281925739,0.20189779,0.127667449,0.079251709,0.062486765,0.044692692,0.04404489,0.046334115,0.052259434,0.059439416,0.03,10115,64.96,A
4,132.8219106,278.9971395,,202,707,0.249087598,0.173148721,0.120615839,0.076651113,0.064367446,0.043697661,0.053189039,0.053834261,0.070027226,0.082825179,0.01,8683,57.82,A
5,169.5171671,247.9946612,0.319893931,221,699,0.268834017,0.193667428,0.113706349,0.077774388,0.061235928,0.04931211,0.050382427,0.054698585,0.06045293,0.069935837,0.04,8171,55.64,A
6,159.2906973,271.4112128,0.313119258,142,689,0.150293737,0.14944887,0.125038532,,0.074255738,0.06048503,0.064685861,0.073294347,0.091364102,0.121333736,0.01,6663,65.67,A
7,151.1185,256.7095,0.3347,226.7214678,695.6080615,0.237323351,0.183795106,0.140829645,0.09229251,0.065355732,0.043697661,0.048993423,0.053834261,0.059604401,0.074084165,0.01,10277.94402,61.10877879,A
8,174.4604,244.464,0.3464,171.5732327,491.730653,0.262554374,0.1825432,0.121121025,0.078587144,0.064811113,0.051106141,0.050208941,0.052049219,0.062463868,0.0739398,0.01,6952.951853,59.48861913,A
9,157.992,236.7021,0.4636,266.5964501,637.1408986,0.281993381,0.202051249,0.127666594,0.079154368,0.062538864,0.044899106,0.044004946,0.04646434,0.052260815,0.059339535,0.03,10092.69482,65.04218511,A
10,132.9763,279.3778,0.3293,203.747013,712.3531455,0.249168216,0.173198595,0.120672301,0.076664272,0.064270105,0.050549775,0.053021754,0.059579486,0.069884183,0.082730328,0.05,8704.823872,57.82033084,A
11,169.491,248.1825,0.1499,220.8300635,698.1535799,0.268976392,0.193589257,0.113669108,0.077798512,0.061144523,0.049114089,0.050608478,0.054614148,0.060324029,0.069931102,0.01,8171.374621,55.56147589,A
12,159.0735,271.7975,0.2653,140.3787704,686.4364011,0.150391653,0.149263406,0.124929468,0.089728868,0.074203868,0.060542491,0.064800981,0.073176777,0.091280758,0.121500687,0.01,6645.045753,65.51020696,A
